evtId,ipad,itime,amp
0,41,269,2.474
0,41,270,3.353
0,41,271,1.36
0,42,268,35.81
0,42,269,116.0
0,42,270,145.5
0,42,271,75.82
0,42,272,20.14
0,42,273,3.8
0,43,268,134.0
0,43,269,408.0
0,43,270,739.8
0,43,271,672.8
0,43,272,352.4
0,43,273,95.23
0,44,268,51.2
0,44,269,106.3
0,44,270,228.3
0,44,271,262.3
0,44,272,123.6
0,44,273,23.02
0,45,269,8.827
0,45,270,19.12
0,45,271,9.2
0,45,272,1.198
1,42,269,48.97
1,42,270,118.0
1,42,271,89.06
1,42,272,25.75
1,43,269,478.5
1,43,270,909.1
1,43,271,761.6
1,43,272,270.1
1,44,269,226.3
1,44,270,381.2
1,44,271,294.1
1,44,272,111.4
1,45,269,1.836
1,45,270,7.517
1,45,271,13.14
1,45,272,5.848
2,41,269,3.358
2,41,270,6.904
2,41,271,3.505
2,42,268,117.0
2,42,269,426.9
2,42,270,741.3
2,42,271,512.0
2,42,272,148.6
2,43,268,800.6
2,43,269,2523.0
2,43,270,3915.0
2,43,271,2824.0
2,43,272,928.7
2,44,268,304.6
2,44,269,1050.0
2,44,270,1615.0
2,44,271,1228.0
2,44,272,409.1
2,45,268,3.934
2,45,269,13.16
2,45,270,22.39
2,45,271,23.2
2,45,272,8.88
3,41,270,6.659
3,41,271,3.349
3,42,269,173.4
3,42,270,442.1
3,42,271,369.0
3,42,272,129.9
3,42,273,19.88
3,43,269,659.4
3,43,270,1481.0
3,43,271,1446.0
3,43,272,621.4
3,43,273,113.9
3,44,269,348.1
3,44,270,556.5
3,44,271,552.9
3,44,272,283.4
3,44,273,64.79
3,45,269,4.074
3,45,270,11.15
3,45,271,15.79
3,45,272,7.988
4,41,272,1.878
4,42,268,6.6
4,42,269,39.75
4,42,270,94.45
4,42,271,91.62
4,42,272,78.66
4,43,268,63.44
4,43,269,351.6
4,43,270,811.6
4,43,271,773.2
4,43,272,366.2
4,44,268,54.66
4,44,269,231.7
4,44,270,465.0
4,44,271,351.2
4,44,272,124.1
4,45,269,3.013
4,45,270,6.246
4,45,271,2.965
5,42,268,39.02
5,42,269,94.78
5,42,270,175.8
5,42,271,199.8
5,42,272,83.67
5,43,268,111.2
5,43,269,498.1
5,43,270,1122.0
5,43,271,1143.0
5,43,272,501.5
5,44,268,53.42
5,44,269,246.0
5,44,270,479.2
5,44,271,423.6
5,44,272,202.6
5,45,269,3.921
5,45,270,8.231
5,45,271,4.319
6,42,268,23.04
6,42,269,100.1
6,42,270,201.2
6,42,271,176.6
6,42,272,60.45
6,43,268,203.8
6,43,269,792.1
6,43,270,1492.0
6,43,271,1361.0
6,43,272,517.2
6,44,268,76.57
6,44,269,385.7
6,44,270,776.7
6,44,271,619.4
6,44,272,194.9
6,45,269,2.393
6,45,270,5.156
6,45,271,3.22
7,41,270,2.408
7,41,271,5.115
7,42,268,19.92
7,42,269,75.0
7,42,270,201.2
7,42,271,233.5
7,42,272,99.45
7,43,268,156.3
7,43,269,609.2
7,43,270,1117.0
7,43,271,995.1
7,43,272,461.8
7,44,268,62.63
7,44,269,294.1
7,44,270,587.2
7,44,271,509.9
7,44,272,190.1
7,45,269,7.187
7,45,270,15.75
7,45,271,8.732
7,45,272,1.552
8,41,271,4.917
8,41,272,10.01
8,42,269,60.06
8,42,270,82.35
8,42,271,75.12
8,42,272,53.3
8,42,273,17.78
8,43,269,227.2
8,43,270,492.6
8,43,271,553.7
8,43,272,288.1
8,43,273,65.95
8,44,269,129.5
8,44,270,277.3
8,44,271,327.7
8,44,272,143.8
8,44,273,21.47
8,45,269,3.781
8,45,270,8.376
8,45,271,4.99
8,45,272,1.029
9,42,268,24.1
9,42,269,70.66
9,42,270,97.51
9,42,271,92.68
9,42,272,35.54
9,43,268,147.9
9,43,269,625.1
9,43,270,1149.0
9,43,271,953.5
9,43,272,336.7
9,44,268,63.3
9,44,269,247.2
9,44,270,434.4
9,44,271,389.9
9,44,272,186.2
9,45,269,4.851
9,45,270,9.46
9,45,271,5.825
9,45,272,1.679
10,42,269,109.7
10,42,270,169.0
10,42,271,137.5
10,42,272,71.04
10,42,273,19.22
10,43,269,550.0
10,43,270,1119.0
10,43,271,927.6
10,43,272,419.9
10,43,273,100.8
10,44,269,340.9
10,44,270,496.8
10,44,271,457.8
10,44,272,247.0
10,45,269,5.415
10,45,270,12.63
10,45,271,21.93
10,45,272,10.41
11,41,271,1.21
11,42,268,10.09
11,42,269,48.38
11,42,270,113.9
11,42,271,129.5
11,42,272,54.78
11,43,268,94.36
11,43,269,376.8
11,43,270,689.2
11,43,271,673.0
11,43,272,378.3
11,44,268,84.82
11,44,269,235.5
11,44,270,297.8
11,44,271,301.0
11,44,272,165.6
11,45,269,7.973
11,45,270,4.743
11,45,271,2.375
11,45,272,1.517
12,42,268,17.58
12,42,269,91.61
12,42,270,184.7
12,42,271,138.5
12,42,272,42.56
12,43,268,61.42
12,43,269,323.3
12,43,270,748.2
12,43,271,735.4
12,43,272,319.0
12,44,268,10.59
12,44,269,103.7
12,44,270,288.1
12,44,271,289.9
12,44,272,121.6
12,45,269,7.35
12,45,270,15.84
12,45,271,7.479
13,42,268,6.303
13,42,269,52.27
13,42,270,110.7
13,42,271,56.91
13,42,272,11.92
13,43,268,116.8
13,43,269,256.3
13,43,270,481.7
13,43,271,500.4
13,43,272,261.0
13,44,268,44.2
13,44,269,101.5
13,44,270,178.5
13,44,271,226.0
13,44,272,96.1
13,45,270,2.883
13,45,271,4.506
14,42,268,6.692
14,42,269,56.56
14,42,270,142.0
14,42,271,129.4
14,42,272,60.43
14,42,273,14.35
14,43,268,48.45
14,43,269,261.4
14,43,270,555.7
14,43,271,479.0
14,43,272,202.0
14,43,273,41.83
14,44,268,39.19
14,44,269,169.0
14,44,270,353.4
14,44,271,391.9
14,44,272,213.0
14,44,273,51.33
14,45,269,5.033
14,45,270,14.86
14,45,271,16.88
14,45,272,6.749
15,42,268,7.659
15,42,269,50.78
15,42,270,118.5
15,42,271,101.3
15,42,272,32.27
15,43,268,65.32
15,43,269,332.5
15,43,270,677.6
15,43,271,555.0
15,43,272,197.7
15,44,268,10.56
15,44,269,97.76
15,44,270,308.8
15,44,271,398.5
15,44,272,216.2
15,45,269,1.481
15,45,270,13.18
15,45,271,29.47
15,45,272,17.7
16,42,268,14.12
16,42,269,79.3
16,42,270,163.4
16,42,271,115.4
16,42,272,42.22
16,43,268,157.4
16,43,269,556.8
16,43,270,914.9
16,43,271,734.9
16,43,272,322.5
16,44,268,37.75
16,44,269,160.9
16,44,270,302.4
16,44,271,266.2
16,44,272,111.9
16,45,269,5.975
16,45,270,11.0
16,45,271,11.48
16,45,272,4.346
17,42,268,17.74
17,42,269,52.23
17,42,270,88.19
17,42,271,110.1
17,42,272,61.8
17,43,268,96.73
17,43,269,333.5
17,43,270,637.7
17,43,271,652.0
17,43,272,300.5
17,43,273,57.78
17,44,268,43.03
17,44,269,152.0
17,44,270,258.1
17,44,271,260.6
17,44,272,143.6
17,44,273,36.43
17,45,269,1.319
17,45,270,2.98
17,45,271,2.098
18,42,268,6.288
18,42,269,52.69
18,42,270,132.6
18,42,271,116.3
18,42,272,40.75
18,42,273,5.399
18,43,268,55.66
18,43,269,286.6
18,43,270,615.9
18,43,271,587.7
18,43,272,281.4
18,43,273,63.97
18,44,268,12.7
18,44,269,90.7
18,44,270,203.7
18,44,271,162.6
18,44,272,77.24
18,44,273,21.03
18,45,270,3.249
18,45,271,1.758
19,42,269,42.48
19,42,270,104.3
19,42,271,86.11
19,42,272,30.28
19,43,269,402.6
19,43,270,823.0
19,43,271,803.7
19,43,272,313.1
19,43,273,42.54
19,44,269,180.8
19,44,270,404.3
19,44,271,379.2
19,44,272,141.4
19,44,273,30.04
19,45,269,2.541
19,45,270,5.726
19,45,271,5.37
19,45,272,2.181
20,41,269,1.585
20,41,270,2.187
20,41,271,1.211
20,42,268,57.62
20,42,269,268.3
20,42,270,516.0
20,42,271,413.1
20,42,272,144.2
20,43,268,301.6
20,43,269,1172.0
20,43,270,2138.0
20,43,271,1691.0
20,43,272,700.7
20,44,268,80.76
20,44,269,439.3
20,44,270,943.5
20,44,271,764.6
20,44,272,296.8
20,45,269,15.33
20,45,270,34.58
20,45,271,19.56
20,45,272,3.84
21,41,269,1.198
21,41,270,2.378
21,41,271,1.086
21,42,268,20.09
21,42,269,68.78
21,42,270,123.6
21,42,271,91.46
21,42,272,26.91
21,43,268,96.17
21,43,269,516.6
21,43,270,1149.0
21,43,271,1076.0
21,43,272,433.7
21,44,269,172.6
21,44,270,428.5
21,44,271,521.6
21,44,272,247.4
21,45,270,2.776
21,45,271,5.397
21,45,272,2.728
